SMILES,Name,MolWeight
O=S(=O)(Nc1cc(F)ccc1F)c1ccc(N2CCCCS2(=O)=O)cc1,,402.05
O=C(O)COc1ccc2c(c1)C(=O)c1cc(OCC(=O)O)ccc1-2,,328.06
CCCCCCCCOc1nsc(SC)c1C#N,,284.1
CN(Cc1nn(C)c(Cl)c1Cl)S(=O)(=O)c1cnn(C)c1,,337.02
CN1C=C(c2ccc3ccccc3n2)C(c2cccc3ccccc23)c2ccccc21,,398.18
Nn1cnn2c(SCC(=O)N3CCN(C(=O)CSc4nnc5n(N)cnn45)CC3)nnc12,,478.12
CCC12CN3CC(CC)(CN(C1)C3C(C)(C)CO)C2=O,,280.22
O=C(O)CCCn1ncn2c(cc3occc32)c1=O,,261.07
Nc1cc(S(=O)(=O)N2CCCC2)sc1Cl,,266.0
Brc1cc(Sc2ccccc2)c2nonc2c1,,305.95
C1CCC(N2CCC(N3CCCCCC3)CC2)CC1,,264.26
O=C(O)C1C2C=CC(C2)C1C(=O)NCCCN1CCCC1=O,,306.16
Clc1cc2c(c(COc3ccc4c(c3)OCO4)c1)OCOC2,,320.05
FC(F)C1CC(C23CC4CC(CC(C4)C2)C3)Nc2ccnn21,,307.19
CCn1c(I)nc(I)c1C,,361.88
Fc1ccc(F)c(-c2nnc3sc(-c4ccc5nnnn5c4)nn23)c1,,356.04
CC1CCN(c2nn3c(=O)c(C(=O)N4CCC5(CC4)OCCO5)cnc3s2)CC1,,419.16
c1ccc(C2=NC3(CCCC3)N=C2c2ccccc2)cc1,,274.15
CN(C)S(=O)(=O)Nc1ccc(Br)cn1,,278.97
CC(CN)n1cc(I)cn1,,250.99
COCCc1nnc2n1C[C@H]1CC[C@@H](C2)N1S(=O)(=O)c1cccs1,,368.1
OC(C#CCN(Cc1ccccc1)Cc1ccccc1)(c1ccccc1)c1ccccc1,,417.21
CC1(C)O[C@H]2[C@@H](O1)[C@@H](C(=O)NCC(=O)O)O[C@@H]1OC(C)(C)O[C@@H]12,,331.13
Cc1nnc(C)c2c(C)n(C3CCCCC3)c(C)c12,,257.19
CC1=CC(C)(C)n2c(=O)oc(=O)c3cc(F)cc1c32,,261.08
CN1CCN(c2cnn(C34CC5CC(CC(C5)C3)C4)c(=O)c2Cl)CC1,,362.19
Clc1cncc(Cl)c1N/N=C/c1ccc(Br)s1,,348.88
Cn1cnnc1C1CN(S(C)(=O)=O)CC12CCCC2,,284.13
COc1cc(C(=O)CC2OC(=O)c3c2ccc(OC)c3OC)ccc1O,,358.11
c1ccc2oc(SCCSc3nc4ccccc4o3)nc2c1,,328.03
Cn1c2c(c(=O)n(C)c1=O)CN(C1CCCC1)CN2,,264.16
O=C(O)C12CC3CC(C(=O)O)(C1)CC(C(=O)O)(C3)C2,,268.09
CN(C)c1nc(N)nc(COc2nsnc2N2CCOCC2)n1,,338.13
Cc1nnc(-c2ccc(S(=O)(=O)NCc3ccco3)o2)o1,,309.04
CCCCCCCCn1c2c(c(=N)c3c1CCC3)CCCC2,,300.26
COc1cc(CNCCO)cc(I)c1OC,,337.02
CSc1nc2sc3c(c2c2nnc(SC(C)C)n12)CC(C(C)C)OC3,,394.1
O=C1c2ccc(-n3c(=O)c4ccccc4c4ccccc4c3=O)cc2C(=O)N1c1ccccc1,,444.11
O=S(=O)(c1ccc(-c2ccno2)s1)N1CCC2(CC1)OCCO2,,356.05
O=c1c2ccc3ccccc3c2oc2cc(O)cc(O)c12,,278.06
CCn1ncc(/C=N/Nc2snc(SC)c2C#N)c1F,,310.05
CC(C)(C)NC(=O)NC1CCN(C(=O)C2CCCC2)C1,,281.21
CC1=CC(C)(C)N2Cn3c(nc4ccccc43)-c3cc(C)cc1c32,,315.17
Cc1nn(CCc2nnc(C(C)n3nc(C(F)F)c(Br)c3C)o2)c(C)c1Cl,,462.04
CCN1C(=O)N(CC)C2C1NC(=O)N2CCCC(=O)O,,284.15
Ic1ccc(-c2cn3ccsc3n2)cc1,,325.94
O=C1NCCCCCN(C(=O)CC2CCCCC2)[C@H]2CCCC[C@@H]12,,334.26
OC1(c2ccc3c(c2)OCCO3)C[N+](c2ccccc2)=C2SCCCN21,,369.13
c1cc2c(cc1Nc1nc3nonc3nc1Nc1ccc3c(c1)OCO3)OCO2,,392.09
O=C(O)C1C2CCC(C2)C1C(=O)NCC1CCCO1,,267.15
O=S(=O)(c1cccs1)N1CCN(S(=O)(=O)c2ccc(Br)s2)CC1,,455.89
