SMILES,Name,MolWeight
OC1(CC#CCN(Cc2ccccc2)Cc2ccccc2)c2ccccc2-c2ccccc21,4782-0267,429.21
CSc1nncn1/N=C/c1cc(Br)cs1,Y508-8942,301.93
CS(=O)(=O)N(CCN1CCOCC1)C1CCNC1,SB91-0442,277.15
CC(C)Sc1nc(=O)n(C2CCCCC2)c2c1CCC2,D468-0701,292.16
Cc1nnsc1-c1nnc2sc(-c3ccco3)nn12,8020-7715,290.0
COc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(OC)c(OC)c2)cc1OC,4466-1896,386.17
Cc1nc(N2CCCC2)c2sc(=S)n(C)c2n1,8015-7335,266.07
Nc1c(I)cnn1CC(F)F,Y507-6061,272.96
CCCC12CN3CC(C)(CN(C1)C3C(C)C)C2=O,8015-4933,250.2
CC(C)(NC(=O)c1cnccn1)c1nc2c(c(C(N)=O)n1)OCO2,T978-1875,330.11
CN(C)C(=O)C12CC3CC(CC(Br)(C3)C1)C2,8018-9475,285.07
O=C1Nc2ccc(Cl)cc2OC1(O)C(F)(F)Cl,8016-1164,282.96
C1CNCC(OCCc2noc(C3CCOCC3)n2)C1,SC04-0398,281.17
N#Cc1c(N)sc2c1CCCCCCCCCC2,8003-0436,262.15
CC1=CC(C)(C)N2C(=O)C(=O)c3cc(OC4(O)C(=O)N5c6c(cc(O)cc64)C(C)=CC5(C)C)cc1c32,6456-0615,486.18
Cc1nc([C@@]23CCC[C@@H]2CN(S(=O)(=O)c2cn(C)c(C)n2)C3)no1,SB55-0264,351.14
CN(CCN(C)/N=C/c1ccc(Br)cc1)/N=C/c1ccc(Br)cc1,Y510-6393,450.01
CC1(C)OC(=O)N(CCCCCCN2C(=O)OC(C)(C)C2(C)O)C1(C)O,8010-5819,372.23
O=c1cc2c(nn1CN1CCSCC1)CCC2,Y043-2828,251.11
Cc1cc(-c2oc(=O)oc2-c2cc(C)sc2C)c(C)s1,8017-1859,306.04
O=S1(=O)NC=Nc2ccc(S(=O)(=O)N3CCN(c4ncccn4)CC3)cc21,E782-0643,408.07
O=C(O)c1[nH]nc(Br)c1Br,Y503-2234,267.85
O=c1c(Cl)c(N2CCCCCC2)cnn1C12CC3CC(CC(C3)C1)C2,C719-0083,361.19
O=S1(=O)c2ccccc2S(=O)(=O)N1c1cccc(Cl)c1,K509-0033,328.96
CCSc1nnc([C@@H]2CCCN2C(=O)OC(C)(C)C)o1,8388-0158,299.13
Fc1ccc(C2=Nn3c(nnc3C(F)F)SC2)c(F)c1,Y503-3232,302.02
O=C1CC(n2nnn(-c3ccc(O)cc3)c2=S)C2COC1O2,8013-3362,320.06
O=C1NCC2(CCOCC2)N1C1CCN(S(=O)(=O)N2CCOCC2)CC1,SB30-1000,388.18
O=C(c1ccco1)N(C(=O)c1ccco1)c1ncnc2oc(-c3ccco3)c(-c3ccco3)c12,8016-0506,455.08
O=S(=O)(c1ccc(Br)s1)N1CCCC1c1cccs1,D399-0035,376.92
c1ccc(C2(c3ccccc3)OC(c3ccccn3)Nc3ccccc32)cc1,8012-0555,364.16
Cn1c(=O)c2nc(NC3CCCC3)[nH]c2n(C)c1=O,8015-3570,263.14
CCSc1nnc2c3c4c(sc3n3c(SCC)nnc3n12)CC(C)CC4,8016-4426,404.09
C1CCN(C2CCN(C3CC4CCC3C4)CC2)CC1,Y508-8271,262.24
CC[N+]1=C(C)C(C)(C)c2cc(-c3ccccc3)ccc21,1362-0200,264.17
FC(F)Cn1nccc1I,Y507-5019,257.95
COC(=O)CCC1(CCC(=O)OC)C(=O)CC(C)(C)CC1=O,8010-9394,312.16
Cc1ccc(N2CCN(S(=O)(=O)c3c(C)nc4scc(C)n4c3=O)CC2)c(C)c1,C301-5243,432.13
O=C1[C@H]2CC=C(Cl)C[C@H]2C(=O)N1c1nnc[nH]1,8014-1423,252.04
O=S(=O)(CCN1CCOCC1)c1c(F)c(F)nc(N2CCOCC2)c1F,8610-0319,395.11
